annotation,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,estimate,std.error,p.value.orig,fdr_significant
Marrow.naive B cell,3.4235323985090485e-5,-4.1199631105159895e-5,2.2118836061565665,0.45383899207129,0.7497353802848108,2,-29336.076888213614,58678.15377642723,58700.63084569563,64854.03997971346,13256,-0.10135029136897213,0.1504437321014461,0.5005292394303784,FALSE
Marrow.granulocytopoietic cell,3.7873549803546394e-5,-3.756113082786783e-5,2.2118795823491286,0.502070791398934,0.7606979476685657,2,-29336.052769545084,58678.10553909017,58700.58260835857,64853.80401799255,13256,-0.08574074686437246,0.12100540901381811,0.4786041046628686,FALSE
Large_Intestine.epithelial cell of large intestine,4.093232284434137e-5,-3.4502127040925146e-5,2.2118761993995997,0.5426210823659147,0.7693192368927627,2,-29336.032492139602,58678.064984279205,58700.54205354761,64853.605637411856,13256,-0.06498681170596322,0.08822200000414736,0.46136152621447457,FALSE
Large_Intestine.large intestine goblet cell,4.215621055669241e-5,-3.3278147001380987e-5,2.211874845799729,0.5588462859812152,0.7726306371274836,2,-29336.024378650895,58678.04875730179,58700.52582657019,64853.52626063174,13256,-0.06947372487821102,0.09293395074375276,0.45473872574503293,FALSE
Kidney.leukocyte,4.3929617717851546e-5,-3.1504606058829765e-5,2.21187288443883,0.5823565951704414,0.7772981646799688,2,-29336.01262222879,58678.02524445758,58700.502313725985,64853.41124407518,13256,-0.1368716495260935,0.17935727712050495,0.44540367064006225,FALSE
Marrow.immature B cell,4.764577085139507e-5,-2.778817258786148e-5,2.211868774425285,0.6316224325437786,0.7866124764036139,2,-29335.987986721666,58677.97597344333,58700.453042711735,64853.17022828003,13256,-0.0935795040956635,0.11774757359577825,0.42677504719277226,FALSE
Liver.B cell,5.567097948227482e-5,-1.976235855494224e-5,2.211859898630394,0.7380155900678073,0.8048435840013701,2,-29335.93478486533,58677.86956973066,58700.346638999064,64852.649743259666,13256,-0.1588753581633153,0.1849369856237364,0.39031283199725975,FALSE
Skin.stem cell of epidermis,5.963855289292091e-5,-1.5794485840325834e-5,2.21185551052349,0.7906158083312625,0.8130349408039894,2,-29335.90848230472,58677.81696460944,58700.29403387784,64852.39242128556,13256,-0.10986918730041055,0.12356434323443906,0.37393011839202106,FALSE
Heart.myofibroblast cell,7.81991362978955e-5,2.767497729427859e-6,2.211834982539636,1.036688818935153,0.8456943002697803,2,-29335.785435717095,58677.57087143419,58700.04794070259,64851.188651255914,13256,-0.11573443352137175,0.1136680430270783,0.3086113994604393,FALSE
Pancreas.pancreatic stellate cell,7.877023061978471e-5,3.338635133243173e-6,2.2118343509069534,1.0442604337310581,0.8465743389262511,2,-29335.781649635683,58677.563299271365,58700.04036853977,64851.15161221389,13256,-0.12796262598928781,0.12522145112464392,0.3068513221474977,FALSE
