gwas,specificity_id,annotation,tau,se,pvalue
BMI_UKBB_Loh2018,mousebrain190306,SCINH3,2.701984090617193e-08,1.507949294835315e-08,0.03658035024936565
BMI_UKBB_Loh2018,mousebrain190306,DEINH4,9.172292179604806e-09,5.128055999649008e-09,0.03683568148584749
BMI_UKBB_Loh2018,mousebrain190306,MEINH10,9.24707779075371e-09,5.187953257886655e-09,0.037340914905984735
BMI_UKBB_Loh2018,mousebrain190306,DEINH2,1.3634496970533052e-08,7.782410329468025e-09,0.03989006281893434
BMI_UKBB_Loh2018,mousebrain190306,SCINH7,9.452262479927032e-09,5.406747989225085e-09,0.040211729151498
BMI_UKBB_Loh2018,mousebrain190306,CBINH1,9.181890295104865e-09,5.287303229920728e-09,0.04122957616352573
BMI_UKBB_Loh2018,mousebrain190306,MBDOP1,2.2742005728607862e-08,1.3328525827668272e-08,0.04397931564290671
BMI_UKBB_Loh2018,mousebrain190306,SEPNBL,1.1761147359694337e-08,6.904267591917486e-09,0.044240958817164534
BMI_UKBB_Loh2018,mousebrain190306,HBSER2,8.149898431675491e-09,4.825663238365902e-09,0.045622558876982536
BMI_UKBB_Loh2018,mousebrain190306,DEGLU3,6.57770887064531e-09,3.935484011825261e-09,0.04732283026564883
BMI_UKBB_Loh2018,mousebrain190306,MEINH11,1.1796632662162069e-08,7.35353370174967e-09,0.0543335805275518
BMI_UKBB_Loh2018,mousebrain190306,PSPEP2,7.380476384071274e-09,4.606733164337006e-09,0.054566048738972514
BMI_UKBB_Loh2018,mousebrain190306,SCGLU6,8.340983781931761e-09,5.296917543497257e-09,0.05766442940930245
BMI_UKBB_Loh2018,mousebrain190306,MSN2,5.831153763605371e-09,3.7334786744497125e-09,0.05916103068710266
BMI_UKBB_Loh2018,mousebrain190306,TEINH10,7.93173176154295e-09,5.0791900046810446e-09,0.059189531731844935
BMI_UKBB_Loh2018,mousebrain190306,MSN5,7.963916582947233e-09,5.123581212120655e-09,0.06004865886550721
BMI_UKBB_Loh2018,mousebrain190306,HBSER4,1.0057570508619292e-08,6.476196061741701e-09,0.060210865952035016
