gwas,specificity_id,annotation,q,h2g,h2g_se,prop_h2g,prop_h2g_se,enr,enr_se,enr_pval
HEIGHT_UKBB_Loh2018,mousebrain,MEINH3,0,0.29831168907898103,0.0139296379638888,0.477405279829572,0.0128073254398232,0.7810657381987,0.0209536080174429,1.05640080435831e-23
HEIGHT_UKBB_Loh2018,mousebrain,MEINH3,1,0.0593391086415046,0.00246206246752165,0.0949637738075175,0.00204099854322032,1.20951502435004,0.0259953696417454,5.03343487993595e-15
HEIGHT_UKBB_Loh2018,mousebrain,MEINH3,2,0.10951365686404198,0.00436747021173944,0.175260976737976,0.00319579134484217,1.23916200103945,0.0225954646121808,8.36467430034685e-24
HEIGHT_UKBB_Loh2018,mousebrain,MEINH3,3,0.091020293870532,0.00430861943386578,0.14566498885642498,0.00488097520851416,1.43467641142012,0.0480734598708807,1.0866072784711599e-18
HEIGHT_UKBB_Loh2018,mousebrain,MEINH3,4,0.0496067227712685,0.00301979215142455,0.0793884793424076,0.00405929685675361,1.61853172999459,0.0827588690266474,2.17792451647617e-13
HEIGHT_UKBB_Loh2018,mousebrain,MEINH3,5,0.0170690020082265,0.00148980274081301,0.027316501426102,0.00220088924168303,1.49705814294783,0.120617904525631,4.13212362232525e-05
T2D_UKBB_Loh2018,mousebrain,MEINH3,0,0.0183337629461737,0.0018421086237423601,0.459528157282879,0.0324239323768667,0.751817616092078,0.0530476384473228,1.24038113879855e-06
T2D_UKBB_Loh2018,mousebrain,MEINH3,1,0.00336830707038517,0.000280923205372546,0.0844252184214056,0.00489102257986271,1.07528972386563,0.0622949684662905,0.231244439575754
T2D_UKBB_Loh2018,mousebrain,MEINH3,2,0.007148640435250641,0.000423357958848446,0.179177704867957,0.0075344651715869,1.2668547638975,0.0532715445991384,2.1538430958074397e-07
T2D_UKBB_Loh2018,mousebrain,MEINH3,3,0.0061804917017107795,0.000517088697322062,0.154911458772953,0.0123458386250909,1.5257462860845301,0.12159602381925401,7.75604198348197e-06
T2D_UKBB_Loh2018,mousebrain,MEINH3,4,0.00349578839894125,0.000423901202388629,0.0876204849998673,0.010780666345535,1.78636165278007,0.219790713907936,0.000229852487976042
T2D_UKBB_Loh2018,mousebrain,MEINH3,5,0.00136993993070735,0.000229585146664592,0.0343369756549388,0.00584096175071736,1.8818093944969199,0.32010905112478005,0.0050436112752504205
WHRadjBMI_UKBB_Loh2018,mousebrain,MEINH3,0,0.0889048385604333,0.00479293206155921,0.547766234681612,0.0130165314347387,0.8961807850232629,0.0212958824784891,1.39572810558821e-06
WHRadjBMI_UKBB_Loh2018,mousebrain,MEINH3,1,0.0140378782715588,0.0007212686413594861,0.0864910824679539,0.00203585944797231,1.10160179532595,0.0259299150724417,9.23844998969542e-05
WHRadjBMI_UKBB_Loh2018,mousebrain,MEINH3,2,0.0250429763453105,0.00131333106602551,0.154296403660491,0.0034685609839772897,1.09093446739702,0.0245240500745271,0.000245646405844762
WHRadjBMI_UKBB_Loh2018,mousebrain,MEINH3,3,0.0201770126502647,0.00119023093767434,0.124315913796367,0.00476399033610383,1.2244061561256698,0.046921258245372,2.09482057482881e-06
WHRadjBMI_UKBB_Loh2018,mousebrain,MEINH3,4,0.0106399103227135,0.0007803001025569281,0.0655553028293401,0.0038080834396404103,1.33650799936676,0.0776372583097522,1.75643546463784e-05
WHRadjBMI_UKBB_Loh2018,mousebrain,MEINH3,5,0.00350172634375598,0.000350995847361632,0.0215750625642357,0.00198181311042085,1.18240336097853,0.108611619346001,0.0913271576047742
BMI_UKBB_Loh2018,mousebrain,HBGLU2,0,0.120569625840034,0.0038501769047455,0.47733318245487505,0.0101508241322331,0.824611059826539,0.0175359311974604,1.62314328149656e-20
BMI_UKBB_Loh2018,mousebrain,HBGLU2,1,0.0197151794767373,0.000667910308899978,0.0780520740338509,0.00185397279602171,1.0326837424855,0.0245293618287668,0.179416252058869
BMI_UKBB_Loh2018,mousebrain,HBGLU2,2,0.0390934091547301,0.00123086202998648,0.15477016930944,0.00195483066135814,1.1836127752268701,0.0149496673326154,1.4035685509252498e-29
BMI_UKBB_Loh2018,mousebrain,HBGLU2,3,0.0417230146071561,0.0016978588428873801,0.165180734412068,0.0043175434561459,1.2911282378456799,0.0337478961708052,3.9436861927563e-16
BMI_UKBB_Loh2018,mousebrain,HBGLU2,4,0.0234060311339806,0.00124736601107435,0.0926640955545796,0.0037942378066712296,1.3891735335634698,0.0568813056397773,6.643960888304089e-11
BMI_UKBB_Loh2018,mousebrain,HBGLU2,5,0.008082817895816259,0.000543456655741873,0.0319997442351863,0.0018139343289453802,1.58735448644675,0.08998061903273402,4.1187724681562004e-10
LIPIDS_LDL_Teslovich2010,mousebrain,HBGLU2,0,0.036451713716742995,0.0054087548904661106,0.36561805573708794,0.0381170603524706,0.631618968709724,0.0658486581072631,1.76474322807962e-07
LIPIDS_LDL_Teslovich2010,mousebrain,HBGLU2,1,0.008861560685643359,0.0008833853090944349,0.0888832446632811,0.00571132558439334,1.1759877348463998,0.0755648475975998,0.0141972094018927
LIPIDS_LDL_Teslovich2010,mousebrain,HBGLU2,2,0.0192366477734296,0.0017718220188831801,0.19294746503482,0.00737633242884232,1.4755755943269,0.056410879021798,3.26818217120765e-15
LIPIDS_LDL_Teslovich2010,mousebrain,HBGLU2,3,0.0189053278861789,0.00237008051422688,0.18962425960352103,0.0160277583917134,1.48219002068319,0.12528029689761097,0.000216301992424318
LIPIDS_LDL_Teslovich2010,mousebrain,HBGLU2,4,0.0120956475577342,0.0017633356377526398,0.121321789622982,0.013507446933225,1.81879527534515,0.20249685353694397,0.000132280577352585
LIPIDS_LDL_Teslovich2010,mousebrain,HBGLU2,5,0.00414799072771886,0.000722955016812917,0.0416051853383082,0.00595094212671366,2.0638345457021896,0.295197818269965,0.000666048387108959
RA_Okada2014,mousebrain,HBGLU2,0,0.0651828261828972,0.00689488131627916,0.446156271044873,0.025528587797226998,0.7707517705399599,0.0441015974022218,7.397377437701779e-07
RA_Okada2014,mousebrain,HBGLU2,1,0.0125590650666445,0.00119734788688304,0.0859629133327491,0.0047365195988567895,1.13734970087944,0.0626674799644916,0.0274632459071785
RA_Okada2014,mousebrain,HBGLU2,2,0.0249179740956311,0.00209553040514156,0.17055582053630702,0.00556083093492017,1.30433434929221,0.0425267386138786,1.3916672186885197e-11
