specificity_id,annotation_prefix,annotation,annotation_fmt,annotation_marker,taxonomy_lvl2,Notes
moffitt2018,POA,i4_Gaba_Mylk,POA-NEURO55,Gaba/Mylk,Neuron,
moffitt2018,POA,i40_Sst_Reln,POA-NEURO56,Sst/Reln,Neuron,
moffitt2018,POA,i41_Npy_Penk,POA-NEURO57,Npy/Penk,Neuron,
moffitt2018,POA,i42_Pthlh,POA-NEURO58,Pthlh,Neuron,
moffitt2018,POA,i43_Chat,POA-NEURO59,Chat,Neuron,
moffitt2018,POA,i44_Th_Cxcl14,POA-NEURO60,Th/Cxcl14,Neuron,
moffitt2018,POA,i45_Bdnf_Pmaip1,POA-NEURO61,Bdnf/Pmaip1,Neuron,
moffitt2018,POA,i5_Gaba_Pou3f3,POA-NEURO62,Gaba/Pou3f3,Neuron,
moffitt2018,POA,i6_Avp_Nms,POA-NEURO63,Avp/Nms,Neuron,
moffitt2018,POA,i7_Gaba,POA-NEURO64,Gaba,Neuron,
moffitt2018,POA,i8_Gal_Amigo2,POA-NEURO65,Gal/Amigo2,Neuron,
moffitt2018,POA,i9_Gaba,POA-NEURO66,Gaba,Neuron,
moffitt2018,POA,Immature_oligodendrocyte_1,POA-OPC1,immature,Oligodendrocyte,
moffitt2018,POA,Immature_oligodendrocyte_2,POA-OPC2,immature,Oligodendrocyte,
moffitt2018,POA,Macrophage_1,POA-MACRO1,,Macrophage,
moffitt2018,POA,Mature_oligodendrocyte_1,POA-OLIGO3,mature,Oligodendrocyte,
