Annotation,Coefficient p-value,Coefficient,Coefficient std error,Annotation size,h2g prop.,h2g enrichment,h2g enrichment P-value
ENT5,0.351027293128,2.08530156015e-9,5.45107807601e-9,NA,NA,NA,NA
NFOL1,0.35968986786,1.47630473702e-9,4.10897443094e-9,NA,NA,NA,NA
SCGLU5,0.374701765236,1.60235964969e-9,5.01637270474e-9,NA,NA,NA,NA
TEGLU14,0.375125712612,1.55644741958e-9,4.8897549551e-9,NA,NA,NA,NA
SCGLU8,0.385682240221,2.25115596442e-9,7.74683101114e-9,NA,NA,NA,NA
DGNBL2,0.396726543088,1.15508962714e-9,4.41161413742e-9,NA,NA,NA,NA
MSN6,0.406559769573,1.42765596458e-9,6.03906305254e-9,NA,NA,NA,NA
OBNBL4,0.420816260126,1.24626298171e-9,6.23737359944e-9,NA,NA,NA,NA
OBINH2,0.421327092879,8.51928346354e-10,4.2918387793e-9,NA,NA,NA,NA
MBDOP2,0.42174128901,9.46782365954e-10,4.79527132016e-9,NA,NA,NA,NA
NFOL2,0.425003998345,7.9811293057e-10,4.22040309822e-9,NA,NA,NA,NA
CBNBL2,0.49517510026,6.26651636361e-11,5.18128358336e-9,NA,NA,NA,NA
CR,0.497063353154,4.00859137425e-11,5.44560590907e-9,NA,NA,NA,NA
PSNP4,0.514307214438,-2.07889724821e-10,5.79555294267e-9,NA,NA,NA,NA
SZNBL,0.523217351531,-2.89115844623e-10,4.96505320551e-9,NA,NA,NA,NA
SYCHO2,0.561581696531,-1.44910211993e-9,9.35021587412e-9,NA,NA,NA,NA
SYNOR2,0.586912113952,-1.29414745821e-9,5.89296496685e-9,NA,NA,NA,NA
MFOL2,0.596575596119,-1.03031383013e-9,4.21407836011e-9,NA,NA,NA,NA
ENT6,0.59907187545,-1.09062130277e-9,4.34604853098e-9,NA,NA,NA,NA
PSPEP6,0.611415916081,-1.42958788203e-9,5.05134542662e-9,NA,NA,NA,NA
HYPEP6,0.625064768444,-1.54341344914e-9,4.84116749363e-9,NA,NA,NA,NA
SYNOR1,0.631452304913,-1.85202583869e-9,5.51687008769e-9,NA,NA,NA,NA
ENT2,0.632504690365,-1.41814933244e-9,4.18957944732e-9,NA,NA,NA,NA
PSPEP7,0.632802992144,-1.69228724373e-9,4.9877844629e-9,NA,NA,NA,NA
OBNBL3,0.644470137736,-2.48415674126e-9,6.70608519507e-9,NA,NA,NA,NA
PSNP3,0.648419040005,-1.61550346863e-9,4.23954681447e-9,NA,NA,NA,NA
PSNP2,0.649251694575,-1.84109758942e-9,4.80326864117e-9,NA,NA,NA,NA
DGNBL1,0.65125256183,-2.11027073191e-9,5.4289868937e-9,NA,NA,NA,NA
MOL2,0.710443537186,-2.02257796636e-9,3.6463809644e-9,NA,NA,NA,NA
OBDOP2,0.711963814199,-3.12590422274e-9,5.59064807704e-9,NA,NA,NA,NA
COP2,0.72295014993,-2.4984733084e-9,4.22304756415e-9,NA,NA,NA,NA
OPC,0.742411272039,-2.42929455047e-9,3.73279852456e-9,NA,NA,NA,NA
SYNOR5,0.755114952793,-4.18992856958e-9,6.06642976427e-9,NA,NA,NA,NA
HYPEP8,0.763854509319,-4.46689651538e-9,6.21475657967e-9,NA,NA,NA,NA
SYCHO1,0.773794089236,-4.52000100182e-9,6.01543730366e-9,NA,NA,NA,NA
MOL1,0.775349901679,-3.0400041633100002e-09,4.01807507785e-9,NA,NA,NA,NA
MFOL1,0.813785780718,-2.91954147575e-9,3.27327163754e-9,NA,NA,NA,NA
ENT4,0.814697985463,-4.42961512484e-9,4.94739737691e-9,NA,NA,NA,NA
ENT7,0.825102119764,-5.06269625934e-9,5.41473224692e-9,NA,NA,NA,NA
ACNT2,0.862740740319,-4.06108362363e-9,3.71650427119e-9,NA,NA,NA,NA
RGSZ,0.867627702914,-5.19232772017e-9,4.65576483184e-9,NA,NA,NA,NA
CBPC,0.874633182426,-5.47324095058e-9,4.76526849607e-9,NA,NA,NA,NA
ENT3,0.875911967203,-4.45747658712e-9,3.85998590516e-9,NA,NA,NA,NA
DETPH,0.903465002469,-8.00147526605e-9,6.14764740135e-9,NA,NA,NA,NA
MGL1,0.90961216772,-7.10648854772e-9,5.30980631019e-9,NA,NA,NA,NA
ACNT1,0.914881122731,-5.11536721157e-9,3.72992346999e-9,NA,NA,NA,NA
COP1,0.918595061887,-5.64163089914e-9,4.04219981402e-9,NA,NA,NA,NA
MGL2,0.926826059386,-7.57862593594e-9,5.21745197269e-9,NA,NA,NA,NA
VSMCA,0.928361887348,-6.17005316861e-9,4.21538405241e-9,NA,NA,NA,NA
MOL3,0.951886116401,-6.13058573867e-9,3.68552393227e-9,NA,NA,NA,NA
ACOB,0.954162278614,-5.7031320293e-9,3.38138670136e-9,NA,NA,NA,NA
SYNOR3,0.969866780085,-7.60026439013e-9,4.04519131167e-9,NA,NA,NA,NA
OEC,0.973285450123,-7.70651553811e-9,3.9900435202e-9,NA,NA,NA,NA
ACMB,0.97466221639,-7.43440820723e-9,3.80429013241e-9,NA,NA,NA,NA
MGL3,0.979166114754,-1.05079135826e-8,5.15897206618e-9,NA,NA,NA,NA
ACTE2,0.980617749108,-7.45478097804e-9,3.60713223569e-9,NA,NA,NA,NA
ACTE1,0.985478030739,-7.92753206915e-9,3.63166874858e-9,NA,NA,NA,NA
EPSC,0.986653435597,-8.26257534143e-9,3.72863894414e-9,NA,NA,NA,NA
ACBG,0.987285551046,-9.64931465755e-9,4.31770651886e-9,NA,NA,NA,NA
PVM2,0.988960895154,-1.24122421063e-8,5.4225143991e-9,NA,NA,NA,NA
PVM1,0.991377970013,-1.20998025922e-8,5.08082914032e-9,NA,NA,NA,NA
SCHW,0.993020988988,-1.42489987383e-8,5.79618268448e-9,NA,NA,NA,NA
SYNOR4,0.993091039584,-1.10798079442e-8,4.50039716429e-9,NA,NA,NA,NA
RGDG,0.995252867944,-1.10968104244e-8,4.27833107252e-9,NA,NA,NA,NA
