DEGLU4	DEGLU5	DEINH3	MEGLU1	MEGLU10	MEGLU11	MEINH2	TEGLU17	TEGLU23	TEGLU4	TEINH12
turquoise2	1.21053745934832e-12	1.64574463590309e-10	1.23070469673592e-09	2.53219175719469e-09	2.0418537816491e-06	1.21077147016579e-09	3.42424442598037e-10	6.11616309768507e-08	1.47416389740023e-09	5.14220319827108e-07	2.33340903574063e-05
turquoise4	4.0982461338465e-18	3.70349163932688e-07	4.23757236754483e-10	1.1590022016038e-10	1.19688824976962e-06	2.82797947135807e-10	9.39707150633341e-11	9.89440616242526e-12	7.46128162534913e-10	2.82996747602407e-09	2.74364597897353e-13
violetred2	2.53288468246303e-06	0.0200042112271165	5.1415810493991e-05	0.00347627395402993	0.0984382489574974	0.00969793839255058	0.000842120869332108	0.0133903390092589	0.00130378804350416	0.000324169744453964	0.00147915718616092
wheat	9.63529201044001e-06	0.010421620909281	0.00611206294610237	0.000694263410172989	0.0806806849241512	0.00118398500220008	0.0118973067032441	2.50059879170553e-05	0.00189914824362104	4.93208593690509e-07	0.122662075094153
wheat1	4.54017877487329e-05	0.000109222392960384	0.00099511707696922	0.00188377952633247	5.06901240398749e-05	2.00337390788481e-05	0.00945646239764842	0.0048880264166129	0.0681181207555328	0.00232454036387298	0.00254628532339128
wheat3	5.48737730102233e-18	8.45397082178544e-09	5.17289585323736e-10	1.65770226831603e-07	2.34117406648748e-07	2.70497520186798e-07	8.51006793889659e-09	4.33431456005108e-06	1.05844779368814e-05	1.75040559539709e-06	1.36079405945489e-08
wheat4	1.32164756685127e-06	0.000459926401753974	1.87630070738799e-06	1.9019195827471e-05	0.00364121446513348	2.12869813623242e-06	1.24673405374338e-05	8.44036142037075e-05	0.000418950703523317	4.23391910624139e-05	0.000169796821838019
yellow2	1.88344992653849e-09	6.95977275029757e-05	5.08565725865137e-06	0.000300035660358417	0.0117345019053123	0.0504751188082165	3.78146856716612e-05	8.67778000858549e-06	0.000693860113155644	1.42459039802386e-05	0.000836285568501433
blueviolet	1.59100575630624e-57	4.63323477753941e-62	2.41825806136942e-67	3.28014838051222e-64	5.60764397496818e-22	2.05204046797447e-40	8.08756990593334e-71	1.30655050677169e-20	4.77784731588405e-22	1.62138273327364e-42	2.1179794231728e-33
burlywood1	0.339800373881337	0.390824344978974	0.439679462279388	0.383185206731346	0.17702617129393	0.601852820110826	0.340625551921343	0.214826496586904	0.219385876770033	0.550689489384487	0.488633569281693
darkorchid1	0.135539436897492	0.497543023027519	0.263161224686733	0.249702000755548	0.0127405403587942	0.472678847577371	0.202929729871274	0.0586162905138724	0.0604844024031909	0.0381273144197949	0.191285598923378
darkorchid2	1.47349297680518e-05	1.22127401895041e-05	0.000376885816096746	0.00243370170602587	1.11546717573195e-05	3.23589546415554e-05	0.00292741454056687	0.0300837524886228	0.00357236663150365	0.440136944434516	8.59430615956774e-05
dodgerblue2	0.0733361456440196	0.0731349163541828	0.420859114878494	0.442430053030368	0.0148431820194665	0.0417715288415571	0.483805587229436	0.160617561586667	0.144946702152412	0.0292906105878186	0.371020073030788
dodgerblue3	3.07706615060644e-07	8.39781889328624e-06	4.0907441773883e-06	3.50454432824241e-06	0.0178327545651803	0.0148862676431359	1.97322368951351e-06	1.71291904254519e-05	0.00991679345698971	9.50166261122264e-08	1.11966509604243e-05
