dataset,annotation,turcot2018_s21_mendelian_obesity_genes.mapped,turcot2018_table1_rare_variants.mapped,yazdi2015_table1_mouse_obesity_genes.mapped,human_psd_genes.pers_hmg2016_table_s12,mouse_psd_genes.pers_hmg2016_table_s13,combined_rare_mendelian_obesity,locke_nearest,locke_associated
Mousebrain,TEGLU10,0.0460692975775021,0.352416615076196,0.973790369173481,8.44199985899471e-59,1.34984267584002e-73,0.0563625885420725,0.118560092351915,0.120643537739463
Mousebrain,TEGLU11,0.0672787105921733,0.571460812048815,0.972699884565401,5.6448861127522e-61,3.22730363368448e-75,0.128307106233715,0.192313633746171,0.0692231663010018
Mousebrain,TEGLU12,0.00261987582879589,0.877764235600369,0.944278249028624,9.90800565580671e-57,1.63246066856163e-61,0.0382357201364362,0.613141713938098,0.635492309037958
Mousebrain,TEGLU13,0.0188744657832023,0.606817092421767,0.877427497407172,1.50624300019237e-54,3.4760250809551e-75,0.0608000472693687,0.103797359915409,0.0646681768643421
Mousebrain,TEGLU14,0.00103026686384678,0.243412399777341,0.888589719958863,6.7792933393546e-66,3.63541435365789e-85,0.00166891301366611,0.220705698554611,0.00241325609418884
Mousebrain,TEGLU15,0.006268181920607,0.0550753263369468,0.86034488207764,6.78147709244311e-57,1.12906712539456e-71,0.00197122334207844,0.0228495266140571,0.040128356026191
Mousebrain,TEGLU16,0.0730003805930951,0.3232689998919,0.813793232918276,1.8809115269756e-40,4.24598384157256e-58,0.0899820186040454,0.333489700183425,0.296733055706843
Mousebrain,TEGLU17,0.00251977264439652,0.557909110715259,0.592172938039751,1.16536156304685e-46,4.43425189041692e-58,0.0167576014745708,0.333918886986368,0.187305384184367
Mousebrain,TEGLU18,0.102893542324593,0.105082649333746,0.694987108060784,1.66794292682888e-59,4.90346523824924e-75,0.0485205618925061,0.053707543429176,0.0144169592848742
Mousebrain,TEGLU19,0.0384919213174053,0.337827523174705,0.595076720819006,7.46835399867153e-76,1.79762906486831e-86,0.105027384115857,0.27276922678244,0.0614704431647065
Mousebrain,TEGLU2,0.259412726000182,0.135262108586168,0.965692988134544,2.23514070460681e-70,1.87902555570535e-81,0.159295211008423,0.395544866691782,0.0571151556512582
Mousebrain,TEGLU20,0.0751478574753196,0.21114185703825,0.615762802332798,2.61364021629881e-62,2.53157147465425e-71,0.0669177317951267,0.437032852041449,0.11769155026895
Mousebrain,TEGLU21,0.00939941379734494,0.14894087674054,0.76350754389458,4.78090886235507e-65,2.58613481578631e-80,0.0201372269382633,0.12166374301113,0.275722397219603
Mousebrain,TEGLU22,0.00146247225272185,0.433171559343086,0.366104966000246,9.91642486441724e-49,4.85138777287056e-61,0.00492938134467668,0.264191624270395,0.21781661571921
Mousebrain,TEGLU23,0.0690040715816934,0.240153795117942,0.782828488963402,3.62018649549234e-60,4.85991453218558e-69,0.0969903961759774,0.0182712179377284,0.0436419619447446
Mousebrain,TEGLU24,0.0474782652221435,0.561401853353808,0.968887724774785,1.87144039374219e-45,1.84638336541483e-54,0.183159658914648,0.210877442862822,0.181469839116479
Mousebrain,TEGLU3,0.0563863852527808,0.746568174378554,0.990799288474811,3.46337666020006e-69,4.70853849048616e-85,0.16930149146551,0.335168646649658,0.0357146755899656
