Name	Coefficient	Coefficient_std_error	Coefficient_P_value
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__springgreen4	-8.34988341819e-09	3.23801254394e-08	0.601746624698
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__palevioletred4	-1.33335845918e-08	4.71411815273e-08	0.611351660002
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__floralwhite	-1.23895834997e-08	4.33895482454e-08	0.612385932364
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__lightskyblue	-1.20070810312e-08	4.0685076166e-08	0.61604984548
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__lightcyan1	-1.61299892267e-08	5.31198039683e-08	0.619303875638
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__chocolate	-1.21662698255e-08	3.81148105247e-08	0.625212793397
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__olivedrab3	-1.65895541825e-08	4.9209757844e-08	0.63198647777
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__olivedrab1	-2.040344058e-08	5.51617477361e-08	0.644265488832
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__darkgoldenrod4	-9.31391624207e-09	2.40586058932e-08	0.65067167923
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__pink4	-1.47147939639e-08	3.60242593616e-08	0.658535315254
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__wheat1	-2.09202857406e-08	4.46819797983e-08	0.680180676594
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__beige	-1.5378491662e-08	3.20427684357e-08	0.684363699403
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__goldenrod	-1.47562391492e-08	2.84770393201e-08	0.697833740901
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__saddlebrown	-2.20793026051e-08	3.91294860385e-08	0.713712259412
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__plum	-1.47314472999e-08	2.47787804964e-08	0.723917366207
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__violetred4	-1.41600768399e-08	2.35254919057e-08	0.726380825878
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__powderblue	-1.73944940823e-08	2.86115452975e-08	0.728390900283
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__orangered	-1.81834801652e-08	2.878977852e-08	0.736174222705
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__seashell	-2.0536562004e-08	3.15124081766e-08	0.742701876966
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__slateblue1	-1.39581483335e-08	2.11177483343e-08	0.745683467642
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__peachpuff4	-2.08796275018e-08	3.07047480336e-08	0.751751881908
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__cadetblue1	-2.03206137459e-08	2.81314197656e-08	0.764959058605
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__blue1	-2.16156607255e-08	2.8892056543e-08	0.772815873258
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__violetred2	-3.37364861938e-08	4.14027845377e-08	0.792416951767
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__paleturquoise4	-2.79528097241e-08	3.3455569078e-08	0.79828761092
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__goldenrod1	-3.70278887683e-08	4.38354464728e-08	0.800861375303
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__mediumpurple4	-1.22482350988e-08	1.42771728803e-08	0.804523227619
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__snow1	-2.11236191429e-08	2.33091884362e-08	0.817594449575
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__brown4	-1.82480821367e-08	1.97128465143e-08	0.822697729109
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__lightgoldenrod3	-5.67415419585e-08	6.08647275981e-08	0.824398025819
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__ghostwhite	-2.3295771647e-08	2.41038237614e-08	0.833097021111
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__mediumaquamarine	-2.76663787274e-08	2.81772509569e-08	0.836917888274
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__magenta2	-2.29163251525e-08	2.31600604205e-08	0.838784859481
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__lightyellow2	-5.90065725491e-08	5.84524343921e-08	0.843627792924
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__seagreen	-3.77481340944e-08	3.71103676495e-08	0.84546744359
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__mediumorchid2	-4.77969708008e-08	4.55918970198e-08	0.852764873191
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__orangered1	-2.84579668584e-08	2.70795898048e-08	0.853347959733
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__goldenrod2	-5.4443744495e-08	4.8848886058e-08	0.867474917169
